start	end	text
583000	585000	这边我们放出了一个小彩蛋
585000	588000	就是我们的作者之一杨亦远
588000	590000	跟宁欧英老师的一个意外接触
591000	594000	当时杨亦远在参加一个顶位的时候
594000	599000	发现宁欧英老师也在参会者名单里面
599000	601000	他给宁欧英老师发了封邮件
601000	604000	介绍了我们当时GitHub的开源教程
605000	608000	然后非常惊喜的就是
608000	611000	宁欧英老师很快地给出了回信
611000	615000	然后也是对我们这个教程给出了好评
618000	621000	这边列出了蘑菇书获得的一些荣誉
621000	623000	比如说人民邮件出版社的季度好书
624000	626000	然后日读期期间
626000	629000	当当计算机期中网的第一名
629000	631000	然后上市时间以后
631000	634000	获得的就是京东人工智能榜的第一名
634000	637000	全网的推文阅读量破十万
637000	639000	然后目前清华大学李淑木教授
639000	642000	小米NLP首位科学家王斌老师
642000	645000	以及百度高级研发工程师李克强老师
645000	651000	还有一些等20家的一个大咖公众号
651000	654000	以及微博大V社区他们进行的一个转发推荐
654000	658000	然后这个也被推荐到华为电影大学的一个保定图书馆
659000	662000	蘑菇书全书一共13章可以分两部分
662000	665000	第一部分他介绍了强学的基础知识
665000	667000	以及传统的强化学习算法
667000	669000	第二部分他介绍了
669000	671000	适用强化学习算法
671000	674000	以及常见问题的解决方法
675000	678000	咱们这本书还有一些突出的特点
678000	680000	比如第一点
680000	683000	我们会利用一些简单生动的例子来解释强化学概念
683000	686000	比如说我们可以用这个玩视频游戏
686000	688000	以及下围棋的例子
688000	691000	来对强化学的一些基本概念做出解释
693000	695000	然后还有一些其他特点
695000	698000	比如说我们会对专业的一些公式
698000	700000	进行详细的推导和分析
700000	702000	这边我们以这个比尔曼方程的
702000	704000	这个推导过程的例子
704000	706000	我们会一步一步的把这个推导过程念出来
706000	707000	不会跳步走
707000	709000	然后此外呢
711000	712000	我们还会对一些
712000	714000	可能大家比较难以理解的地方
714000	716000	我们会加入一些注解
716000	717000	通过这些注解
717000	720000	我们会让大家更容易理解一些相关的概念
723000	726000	此外本书配有对应的一个观念词
726000	728000	习题和面试题
728000	730000	当读者读完一章以后
730000	733000	大家可以通过观念词来快速的掌握重点
733000	736000	然后一个通过习题和面试题
736000	738000	来巩固对知识的理解
738000	740000	然后这个习题和面试题
740000	742000	也方便大家的一个程度补缺
742000	743000	然后最后呢
743000	745000	我们会有对应的代码实战
745000	747000	大家学完这个理论以后
747000	750000	还要通过动手来把这个代码进行
750000	752000	来把这个算法进行一个实践
752000	755000	就是大家把这个算法进行实践以后
755000	757000	大家才算对这个算法
757000	759000	有一个比较深入了解
761000	763000	接下来到最后一部分
763000	765000	叫这本书怎么学比较高效
766000	768000	第一个
768000	769000	当然你可以把这本书
769000	771000	作为三门公开课的一个必要教材
771000	774000	就是当你在看这三门课的时候
774000	778000	如果你发现有哪些概念不是很清楚的情况下
778000	780000	你是可以直接翻到
780000	782000	本书对应的知识点进行学习
782000	785000	当然本书也是完全图形于三门教材的
785000	788000	大家可以直接预读本书进行学习
790000	792000	本书在GitHub上面
792000	793000	配有对应的代码
793000	795000	这个代码也会适宜的更新
795000	799000	大家如果只是想很快的
799000	801000	把这个算法给应用上
801000	802000	大家可以直接去GitHub上
802000	804000	跑对应的代码
806000	811000	此外本书还有相关的一个刊物和修订
811000	812000	这些刊物和修订
812000	814000	也会根据大家的反馈的一些意见
814000	816000	进行一些适宜的更新
818000	820000	然后这边也要讲一下
820000	823000	本书它在GitHub有个叫PK版
823000	826000	然后它还有这种纸质书的版本叫纸质版
826000	827000	它们有什么区别呢
827000	830000	就GitHub的那种PK版本是本书的一个初稿
830000	833000	然后在本书的作者已经憋进来
833000	834000	不断的修改中
835000	838000	我们最后有了纸质版
839000	841000	大家看到我们
841000	844000	对这个PK版本里面有了大量的修订
844000	846000	所以说纸质书的一个质量
846000	849000	相对于PK版本是要高不少的
851000	853000	讲到这里大家可能会有疑问
855000	858000	可能是如果我目前我涉及的工作
858000	859000	不涉及到强化学习
859000	861000	那我还有必要学强化学习吗
863000	865000	对于这个问题我想用乔布斯的观点
865000	866000	叫黏生命的点
866000	867000	或者叫应用相连
869000	871000	这边就举一下乔布斯他本人的例子
872000	875000	乔布斯当时在大学学了一门书法课
875000	878000	这门课在很多人眼里都是没有用处的
878000	880000	而乔布斯他本人也是出于兴趣
880000	881000	才学这门课
884000	888000	他也没有对这门课抱有很大的期望
888000	890000	但是后来发现他这门课
890000	893000	在设计苹果电脑字体的时候
893000	894000	取到了极大作用
895000	898000	如果乔布斯当时没有学这门课的话
898000	899000	大家可能就看不到
899000	905000	苹果电脑中这些优美丰富赏意悦目的字体
906000	910000	而对强化学习来说
910000	913000	强化学习这种应用非常广泛的技术
913000	917000	即使现在可能跟你的工作没有很大关联
917000	918000	但说不定某一天
918000	921000	可能你的工作就要涉及到相关的
921000	922000	涉及到强化学习
922000	924000	这时候如果你在之前
924000	927000	对强化学习有一个基本了解
927000	928000	或者说入门的强化学习
928000	931000	这时候可能对你的工作
932000	935000	会起到一个意想不到的助理
939000	942000	最后我们念出了蘑菇书
942000	945000	在京东以及档案的一个购买的链接
945000	946000	以及对应的二维码
947000	949000	然后大家可以在这两个
951000	953000	可以在京东和档案上
953000	955000	购买对应的直述进行学习
956000	958000	然后我们念一下slogan
958000	960000	就是我们这本书的一个标语
960000	961000	标语叫EAR
961000	964000	像柴蘑菇一样轻松入门强化学习
964000	965000	然后这个标语
965000	968000	也代表了我们作者的编写这本书的一个目的
968000	970000	就想让大家学习强化学习的时候
970000	971000	更加轻松
971000	974000	不要像当时作者学习强化学习那样
974000	975000	有很多的困难
975000	979000	然后最后祝大家都能够轻松入门强化学习
981000	983000	然后学习强化学习的过程都很顺利
